,x,y,cluster_pca,Car,Year
0,0.5852537535407146,0.16104550647097196,0,BMW 1 Series M,2011
1,0.3028799127671587,0.12146206314965333,0,BMW 1 Series,2011
2,0.2191909246494994,0.14173964783824777,0,BMW 1 Series,2011
3,0.020051814817659497,-0.1698745861405444,0,BMW 1 Series,2011
4,0.046372105544389,-0.14492310836413475,0,BMW 1 Series,2011
5,0.025075956650624814,-0.04859108227966697,0,BMW 1 Series,2012
6,0.5502399924331637,0.08334329885313436,0,BMW 1 Series,2012
7,0.2304693929917866,0.26895221572520284,0,BMW 1 Series,2012
8,0.05478400756990366,-0.020428028155798646,0,BMW 1 Series,2012
9,0.10771100771726601,0.05131369969177094,0,BMW 1 Series,2013
10,0.22793622362598795,0.3830714338879033,0,BMW 1 Series,2013
11,-0.03873486417442966,0.10705153333173913,0,BMW 1 Series,2013
12,0.31423118112253134,0.3652642925435078,0,BMW 1 Series,2013
13,-0.009026813255150812,0.13521458745560744,0,BMW 1 Series,2013
14,-0.03873486417442966,0.10705153333173913,0,BMW 1 Series,2013
15,0.6435930297163209,0.2711952153087232,0,BMW 1 Series,2013
16,0.3301611060968156,0.4581523137160567,0,BMW 1 Series,2013
17,-0.3361842556270193,-2.644181026993799,3,Audi 100,1992
18,-0.3361842556270193,-2.644181026993799,3,Audi 100,1992
19,-0.05306592611511958,-2.8552143857030274,3,Audi 100,1992
20,-0.3361842556270193,-2.644181026993799,3,Audi 100,1992
21,-0.10852609562828054,-2.8128368953878966,3,Audi 100,1992
22,-0.3402810066201484,-2.5315440748376172,3,Audi 100,1993
23,-0.05716267710824864,-2.742577433546846,3,Audi 100,1993
24,-0.3402810066201484,-2.5315440748376172,3,Audi 100,1993
25,-0.3402810066201484,-2.5315440748376172,3,Audi 100,1993
26,-0.1126228466214096,-2.700199943231715,3,Audi 100,1993
27,-0.11671959761453872,-2.5875629910755342,3,Audi 100,1994
28,-0.1721797671276997,-2.5451855007604034,3,Audi 100,1994
29,-0.2334574185869556,-2.503662103311698,3,Audi 100,1994
30,-0.1721797671276997,-2.5451855007604034,3,Audi 100,1994
31,-0.11671959761453872,-2.5875629910755342,3,Audi 100,1994
32,-1.684269526957403,0.3569071644293903,2,FIAT 124 Spider,2017
33,-1.6972993738518234,0.3445549477083954,2,FIAT 124 Spider,2017
34,-1.6806211698269653,0.3603657851112688,2,FIAT 124 Spider,2017
35,-1.1849952889138389,-3.222792483807084,3,Mercedes-Benz 190-Class,1991
36,-0.42878758780704734,-3.154386157931947,3,Mercedes-Benz 190-Class,1991
37,-0.4328843388001764,-3.041749205775766,3,Mercedes-Benz 190-Class,1992
